"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
42532;2022;"ENERO";"LUNES";"2022-01-10";12;"Robo";"Robo total";"NO";"NO";"CABALLITO";6;-34.620128;-58.429567;1
42533;2022;"SEPTIEMBRE";"VIERNES";"2022-09-09";9;"Hurto";"Hurto total";"NO";"NO";"VILLA GRAL. MITRE";11;-34.613737;-58.474118;1
42534;2022;"FEBRERO";"LUNES";"2022-02-21";15;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.596771;-58.410481;1
42535;2022;"MAYO";"LUNES";"2022-05-02";22;"Robo";"Robo total";"NO";"NO";"VILLA DEL PARQUE";11;-34.60596;-58.482386;1
42536;2022;"FEBRERO";"JUEVES";"2022-02-24";1;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.59806895;-58.40932818;1
42537;2022;"FEBRERO";"JUEVES";"2022-02-24";16;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.597176;-58.39209;1
42538;2022;"FEBRERO";"VIERNES";"2022-02-25";22;"Robo";"Robo total";"NO";"NO";"SAN CRISTOBAL";3;-34.62088;-58.410079;1
42539;2022;"MARZO";"MIERCOLES";"2022-03-02";13;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.59171;-58.407134;1
42540;2022;"MARZO";"JUEVES";"2022-03-03";15;"Robo";"Robo total";"NO";"SI";"RECOLETA";2;-34.59653113;-58.41007161;1
42541;2022;"MARZO";"JUEVES";"2022-03-03";21;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.599702;-58.395823;1
42542;2022;"MARZO";"MARTES";"2022-03-08";17;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.596568;-58.403154;1
42543;2022;"MARZO";"LUNES";"2022-03-07";15;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.595117;-58.399906;1
42544;2022;"MARZO";"MARTES";"2022-03-15";17;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.595654;-58.41318;1
42545;2022;"MARZO";"MARTES";"2022-03-08";13;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.594487;-58.402407;1
42546;2022;"MARZO";"VIERNES";"2022-03-11";4;"Robo";"Robo total";"NO";"NO";"RECOLETA";2;-34.596987;-58.407564;1
42547;2022;"MARZO";"VIERNES";"2022-03-11";11;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.595862;-58.393319;1
42548;2022;"MARZO";"VIERNES";"2022-03-11";14;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.599673;-58.398611;1
42549;2022;"MARZO";"LUNES";"2022-03-14";12;"Hurto";"Hurto total";"NO";"NO";"RECOLETA";2;-34.594856;-58.404049;1
